Nom entreprise,Page,Note globale,Nombre total avis,Nom du client,Pays,Date de publication,Nombre d'avis du client,Note client,Titre commentaire,Commentaire
CertiDeal,https://fr.trustpilot.com/review/certideal.com?page=1,4.4,26139,User,FR,14 janvier 2025,1,5,J'ai eu une super expérience avec le…,"J'ai eu une super expérience avec le service après-vente de ce site de téléphones reconditionnés. Ils ont été très réactifs et m'ont aidé rapidement quand j'avais une question sur mon appareil. C'est rassurant de savoir qu'ils sont là pour répondre aux besoins des clients. Je recommande ce site non seulement pour la qualité des téléphones, mais aussi pour leur excellent SAV !"
CertiDeal,https://fr.trustpilot.com/review/certideal.com?page=1,4.4,26139,Harka Singh,FR,09 janvier 2025,1,5,Superbe expérience,"Étonnamment surprise, au départ j’étais très réticente mais là commandé c’est super bien passé, et la batterie du téléphone est nickel, et pas du tout abîmé on pourrait croire qu’il était neuf ! vrmt 10/10 je recommande !"
CertiDeal,https://fr.trustpilot.com/review/certideal.com?page=1,4.4,26139,Katia,FR,11 janvier 2025,5,1,Téléphoné partiellement HS,Téléphone arrivé en état plus que bof bof car beaucoup abîmé et surtout avec un haut parleur qui ne fonctionne pas.On vous propose une réparation alors que vous venez de le recevoir au lieu de l échanger et entre temps aucun téléphone de prêt et tout ça pour 415 euros. Hyper déçue  !!!!Plus jamais !
CertiDeal,https://fr.trustpilot.com/review/certideal.com?page=1,4.4,26139,Herlove,FR,20 décembre 2024,1,5,Service au top,Service au top !J’ai appelé le SAV car j’avais besoin de renseignements sur les avantages et inconvénients des téléphones reconditionnés et l’opérateur a su prendre le temps de bien m’expliquer. J’ai pu procéder à l’achat de 1 IPhone à offrir pour les fêtes et jusqu’à présent RAS.Merci
CertiDeal,https://fr.trustpilot.com/review/certideal.com?page=1,4.4,26139,Salma Cavaignac,FR,01 octobre 2024,1,5,Téléphone,"J’ai passé commande y’a un petit moment maintenant tout s’est très bien déroulé, le personnel a su répondre à toutes mes questions rien à dire. En ce qui concerne le téléphone la je suis agréablement surprise, la batterie tiens très bien et le téléphone et nickel. Je recommande vivement!"
CertiDeal,https://fr.trustpilot.com/review/certideal.com?page=1,4.4,26139,MARIE FOLLET,FR,30 décembre 2024,8,1,Extrêmement déçue,"Extrêmement déçue . Nous avons commandé 3 téléphones . 1 Samsung et 2 Iphones . Un iphone reçu avec une batterie qui ne correspond pas et qui a gonflé après qq mois le second avait un problème de son ,je l'ai renvoyé et j'ai reçu un message me spécifiant que pour la réparation il fallait que je règle 99 euros car l'écran était fêlé . J'ai payé et l'on m'a retourné le téléphone dans le même état sans le réparer mais en gardant les 99 euros ....."
CertiDeal,https://fr.trustpilot.com/review/certideal.com?page=1,4.4,26139,Arshdeep,FR,14 janvier 2025,1,5,J’ai passé commande d’un téléphone…,"J’ai passé commande d’un téléphone reconditionné et je suis super satisfaite ! La commande a été rapide, l’envoi soigné et la batterie est vraiment en excellent état. Le grade esthétique du téléphone est parfait, on dirait qu’il est neuf. Je recommande vivement ! 😊"
CertiDeal,https://fr.trustpilot.com/review/certideal.com?page=1,4.4,26139,AURELIE MO,FR,10 janvier 2025,1,5,J'ai vraiment été impressionné par la…,"J'ai vraiment été impressionné par la qualité des téléphones reconditionnés sur ce site, surtout pour le prix. En plus, leur service après-vente est top ! Ils sont toujours prêts à aider et à répondre à mes questions. C'est génial de trouver un bon rapport qualité-prix, tout en sachant que je peux compter sur un SAV réactif en cas de besoin. Je recommande vivement !"
CertiDeal,https://fr.trustpilot.com/review/certideal.com?page=1,4.4,26139,NBL,FR,11 janvier 2025,4,5,Tout s'est très bien passé,Tout s'est très bien passé. De la commande à l'envoi. C'est un peu plus cher que Backmarket mais le reconditionnement est fait en France. A voir maintenant si l'iPhone SE 2020 acheté marche sur la durée. Mes deux expériences précédentes sur Smaaart s'étaient terminées par 2 iPhone HS au bout d'un an et sans réparation possible auprès de l'Apple Store car provenant d'un stock américain.
CertiDeal,https://fr.trustpilot.com/review/certideal.com?page=1,4.4,26139,Shana,FR,15 janvier 2025,1,5,J'ai récemment acheté un téléphone…,"J'ai récemment acheté un téléphone reconditionné sur ce site et je suis vraiment impressionné(e) par la qualité du produit. Le téléphone est comme neuf, sans aucune rayure, et fonctionne parfaitement. Les prix sont très attractifs et le service après-vente est très réactif. Je recommande vivement ce site à tous ceux qui cherchent des téléphones de qualité à des prix abordables."
